Time	Device name	Chip Time()	Acceleration X(g)	Acceleration Y(g)	Acceleration Z(g)	Angular velocity X(°/s)	Angular velocity Y(°/s)	Angular velocity Z(°/s)	Angle X(°)	Angle Y(°)	Angle Z(°)	Magnetic field X(?t)	Magnetic field Y(?t)	Magnetic field Z(?t)	Temperature(?)	Quaternions 0()	Quaternions 1()	Quaternions 2()	Quaternions 3()
21:03:36.770	e1:5b:a6:6b:d9:35	2015-1-1 0:19:30.060	0.133	-0.33	0.922	-97.046	7.08	-38.635	-18.083	-16.677	39.315	-5.194	19.110	-31.262	30.97	0.91061	-0.00604	-0.19708	0.36307
21:03:36.892	e1:5b:a6:6b:d9:35	2015-1-1 0:19:30.060	0.086	-0.386	0.954	-14.893	103.149	-18.738	-23.621	-8.251	32.899	-0.294	29.400	-24.206	30.97	0.91061	-0.00604	-0.19708	0.36307
21:03:36.951	e1:5b:a6:6b:d9:35	2015-1-1 0:19:30.060	-0.041	-0.411	0.935	5.493	81.909	1.343	-22.533	-3.12	29.789	-0.294	29.400	-24.206	30.97	0.91061	-0.00604	-0.19708	0.36307
21:03:37.071	e1:5b:a6:6b:d9:35	2015-1-1 0:19:30.060	-0.068	-0.386	0.931	9.155	27.1	-2.747	-21.742	2.527	27.345	-0.294	29.400	-24.206	30.97	0.91061	-0.00604	-0.19708	0.36307
21:03:37.161	e1:5b:a6:6b:d9:35	2015-1-1 0:19:30.060	-0.105	-0.371	0.941	5.31	7.324	-3.845	-20.984	3.801	26.642	-0.294	29.400	-24.206	30.97	0.91061	-0.00604	-0.19708	0.36307
21:03:37.281	e1:5b:a6:6b:d9:35	2015-1-1 0:19:30.060	-0.195	-0.363	0.937	5.859	44.617	-8.85	-20.407	5.532	25.296	-0.294	29.400	-24.206	30.97	0.91061	-0.00604	-0.19708	0.36307
21:03:37.370	e1:5b:a6:6b:d9:35	2015-1-1 0:19:30.060	-0.286	-0.33	0.927	17.151	51.575	-6.104	-19.677	10.272	22.917	-0.294	29.400	-24.206	30.97	0.91061	-0.00604	-0.19708	0.36307
21:03:37.491	e1:5b:a6:6b:d9:35	2015-1-1 0:19:30.060	-0.393	-0.324	0.93	7.935	68.665	-1.709	-18.995	15.886	20.995	-0.294	29.400	-24.206	30.97	0.91061	-0.00604	-0.19708	0.36307
21:03:37.581	e1:5b:a6:6b:d9:35	2015-1-1 0:19:30.060	-0.454	-0.295	0.902	28.625	59.509	3.967	-17.864	21.407	19.55	-0.294	29.400	-24.206	30.97	0.91061	-0.00604	-0.19708	0.36307
21:03:37.701	e1:5b:a6:6b:d9:35	2015-1-1 0:19:30.060	-0.495	-0.249	0.892	49.255	46.753	15.381	-14.518	25.329	19.737	-0.294	29.400	-24.206	30.97	0.91061	-0.00604	-0.19708	0.36307
